DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,AREA,LATITUD,LONGITUD,Shape_Leng,Shape_Area,VERSION,STCTNENCUE,STP3_1_SI,STP3_2_NO,STP3A_RI,STP3B_TCN,STP4_1_SI,STP4_2_NO,STP9_1_USO,STP9_2_USO,STP9_3_USO,STP9_4_USO,STP9_2_1_M,STP9_2_2_M,STP9_2_3_M,STP9_2_4_M,STP9_2_9_M,STP9_3_1_N,STP9_3_2_N,STP9_3_3_N,STP9_3_4_N,STP9_3_5_N,STP9_3_6_N,STP9_3_7_N,STP9_3_8_N,STP9_3_9_N,STP9_3_10,STP9_3_99,STVIVIENDA,STP14_1_TI,STP14_2_TI,STP14_3_TI,STP14_4_TI,STP14_5_TI,STP14_6_TI,STP15_1_OC,STP15_2_OC,STP15_3_OC,STP15_4_OC,TSP16_HOG,STP19_EC_1,STP19_ES_2,STP19_EE_1,STP19_EE_2,STP19_EE_3,STP19_EE_4,STP19_EE_5,STP19_EE_6,STP19_EE_9,STP19_ACU1,STP19_ACU2,STP19_ALC1,STP19_ALC2,STP19_GAS1,STP19_GAS2,STP19_GAS9,STP19_REC1,STP19_REC2,STP19_INT1,STP19_INT2,STP19_INT9,STP27_PERS,STPERSON_L,STPERSON_S,STP32_1_SE,STP32_2_SE,STP34_1_ED,STP34_2_ED,STP34_3_ED,STP34_4_ED,STP34_5_ED,STP34_6_ED,STP34_7_ED,STP34_8_ED,STP34_9_ED,STP51_PRIM,STP51_SECU,STP51_SUPE,STP51_POST,STP51_13_E,STP51_99_E
25,899,ZIPAQUIRÁ,25899,194820434.319,5.04619239608,-74.0230796716,0.97099413173,0.01588730654,2018.0,54648.0,0.0,54648.0,0.0,0.0,926.0,53722.0,45511.0,798.0,8299.0,40.0,19.0,614.0,153.0,6.0,6.0,98.0,3276.0,674.0,1311.0,209.0,2419.0,58.0,26.0,77.0,134.0,17.0,46309.0,19147.0,25313.0,1829.0,3.0,2.0,15.0,40409.0,106.0,743.0,5051.0,40730.0,40334.0,75.0,8245.0,19728.0,9548.0,2654.0,18.0,8.0,133.0,39674.0,735.0,38217.0,2192.0,35694.0,4356.0,359.0,38755.0,1654.0,22459.0,17583.0,367.0,129652.0,684.0,128968.0,62863.0,66789.0,18697.0,20585.0,23847.0,20699.0,16214.0,14402.0,8696.0,4361.0,2151.0,30604.0,17929.0,29474.0,1565.0,1990.0,1574.0
25,001,AGUA DE DIOS,25001,85745327.7045,4.37274467551,-74.6711105092,0.47325428035,0.00698506718,2018.0,7773.0,0.0,7773.0,0.0,0.0,0.0,7773.0,5189.0,141.0,2434.0,9.0,0.0,80.0,53.0,5.0,3.0,0.0,108.0,94.0,118.0,29.0,2013.0,24.0,0.0,7.0,36.0,5.0,5330.0,4667.0,564.0,90.0,4.0,1.0,4.0,3922.0,9.0,943.0,456.0,4146.0,3867.0,55.0,1021.0,2623.0,177.0,9.0,5.0,2.0,30.0,3735.0,187.0,3141.0,781.0,2960.0,917.0,45.0,3218.0,704.0,687.0,3185.0,50.0,10742.0,321.0,10421.0,5188.0,5554.0,1104.0,1475.0,1273.0,1168.0,1311.0,1473.0,1340.0,943.0,655.0,2269.0,1009.0,1120.0,3.0,480.0,219.0
54,001,SAN JOSÉ DE CÚCUTA,54001,1133525946.01,8.11204181061,-72.4886264082,2.87702042892,0.09292433143,2018.0,255630.0,0.0,255630.0,0.0,0.0,0.0,255630.0,224261.0,7617.0,23712.0,40.0,636.0,5099.0,1756.0,120.0,6.0,883.0,8247.0,4630.0,2831.0,716.0,3975.0,562.0,31.0,15.0,1767.0,55.0,231878.0,166507.0,53910.0,11308.0,31.0,7.0,115.0,182692.0,22013.0,2679.0,24494.0,185450.0,180231.0,2461.0,63648.0,74278.0,26951.0,12461.0,1940.0,249.0,704.0,173175.0,9517.0,169296.0,13396.0,114693.0,66292.0,1707.0,177665.0,5027.0,67387.0,113586.0,1719.0,629414.0,4685.0,624729.0,304357.0,325057.0,91962.0,105132.0,113141.0,95596.0,76720.0,68587.0,44169.0,22656.0,11451.0,156678.0,43596.0,77570.0,4697.0,21950.0,8959.0
54,003,ÁBREGO,54003,1382449756.29,8.01983448068,-73.1585048457,2.23937592876,0.11336239615,2018.0,11210.0,0.0,11210.0,0.0,0.0,132.0,11078.0,8925.0,505.0,1778.0,2.0,5.0,388.0,93.0,18.0,1.0,17.0,427.0,278.0,205.0,148.0,557.0,12.0,1.0,13.0,117.0,3.0,9430.0,8789.0,326.0,304.0,0.0,0.0,11.0,8177.0,60.0,303.0,890.0,8455.0,7666.0,511.0,4956.0,2681.0,12.0,6.0,1.0,0.0,10.0,5171.0,3006.0,4416.0,3761.0,1491.0,6655.0,31.0,4326.0,3851.0,468.0,7678.0,31.0,30191.0,73.0,30118.0,15191.0,15000.0,5382.0,5941.0,4955.0,4220.0,3627.0,2838.0,1735.0,995.0,498.0,13065.0,1136.0,844.0,18.0,3832.0,217.0
54,051,ARBOLEDAS,54051,456148988.554,7.61323128278,-72.8613641975,1.16119362396,0.03736204194,2018.0,4357.0,0.0,4357.0,0.0,0.0,111.0,4246.0,2897.0,127.0,1329.0,4.0,9.0,102.0,15.0,1.0,0.0,6.0,22.0,40.0,9.0,75.0,1087.0,10.0,3.0,50.0,27.0,0.0,3024.0,2880.0,44.0,96.0,2.0,1.0,1.0,2282.0,46.0,358.0,338.0,2396.0,2062.0,220.0,696.0,1345.0,5.0,0.0,1.0,0.0,15.0,1119.0,1163.0,652.0,1630.0,24.0,2225.0,33.0,698.0,1584.0,260.0,1989.0,33.0,8202.0,100.0,8102.0,4402.0,3800.0,1289.0,1572.0,1232.0,983.0,980.0,922.0,654.0,349.0,221.0,3711.0,499.0,218.0,0.0,629.0,98.0
54,099,BOCHALEMA,54099,170267044.273,7.63346174656,-72.6578137488,0.75658497035,0.01394456019,2018.0,4148.0,0.0,4148.0,0.0,0.0,0.0,4148.0,2793.0,175.0,1175.0,5.0,2.0,108.0,36.0,29.0,0.0,1.0,65.0,61.0,9.0,40.0,829.0,41.0,15.0,6.0,106.0,2.0,2968.0,2695.0,160.0,111.0,0.0,0.0,2.0,2121.0,47.0,409.0,391.0,2147.0,2081.0,40.0,198.0,1739.0,131.0,5.0,0.0,0.0,8.0,1627.0,494.0,1524.0,597.0,26.0,2074.0,21.0,1504.0,617.0,179.0,1921.0,21.0,6972.0,105.0,6867.0,3638.0,3334.0,1010.0,1218.0,1081.0,938.0,861.0,790.0,514.0,344.0,216.0,2438.0,236.0,500.0,13.0,349.0,56.0
54,109,BUCARASICA,54109,270790859.073,8.07980223932,-72.9291992548,0.82813636714,0.02220517936,2018.0,1972.0,0.0,1972.0,0.0,0.0,0.0,1972.0,1510.0,49.0,413.0,0.0,0.0,39.0,10.0,0.0,0.0,1.0,24.0,8.0,3.0,38.0,316.0,1.0,0.0,0.0,21.0,1.0,1559.0,1538.0,12.0,9.0,0.0,0.0,0.0,1183.0,0.0,71.0,305.0,1264.0,1016.0,167.0,532.0,472.0,5.0,0.0,2.0,0.0,5.0,452.0,731.0,170.0,1013.0,16.0,1163.0,4.0,326.0,857.0,114.0,1065.0,4.0,4698.0,0.0,4698.0,2493.0,2205.0,933.0,998.0,771.0,622.0,495.0,382.0,297.0,125.0,75.0,2293.0,457.0,84.0,0.0,488.0,36.0
54,125,CÁCOTA,54125,138922190.184,7.27056008782,-72.6521215256,0.55612532197,0.01136822963,2018.0,2102.0,0.0,2102.0,0.0,0.0,0.0,2102.0,1068.0,35.0,998.0,1.0,0.0,28.0,6.0,1.0,0.0,1.0,16.0,31.0,882.0,21.0,25.0,3.0,10.0,4.0,5.0,0.0,1103.0,1042.0,29.0,31.0,0.0,0.0,1.0,783.0,1.0,25.0,294.0,836.0,731.0,52.0,506.0,221.0,2.0,0.0,1.0,0.0,1.0,317.0,466.0,266.0,517.0,5.0,775.0,3.0,350.0,433.0,15.0,765.0,3.0,2733.0,10.0,2723.0,1476.0,1257.0,433.0,450.0,395.0,398.0,382.0,272.0,213.0,124.0,66.0,1165.0,305.0,114.0,0.0,108.0,34.0
54,128,CÁCHIRA,54128,615819904.661,7.68418889638,-73.1293948118,1.65602888631,0.05045724043,2018.0,4775.0,0.0,4775.0,0.0,0.0,1.0,4774.0,3089.0,106.0,1580.0,0.0,1.0,81.0,22.0,2.0,0.0,3.0,43.0,74.0,3.0,64.0,1350.0,7.0,0.0,4.0,31.0,1.0,3195.0,3130.0,38.0,18.0,3.0,1.0,5.0,2477.0,5.0,349.0,364.0,2571.0,2425.0,52.0,853.0,1552.0,6.0,5.0,1.0,0.0,8.0,825.0,1652.0,764.0,1713.0,21.0,2444.0,12.0,818.0,1659.0,91.0,2374.0,12.0,8642.0,0.0,8642.0,4549.0,4093.0,1368.0,1752.0,1099.0,991.0,1071.0,982.0,717.0,442.0,220.0,3984.0,388.0,204.0,0.0,698.0,92.0
54,172,CHINÁCOTA,54172,166254138.811,7.58335313619,-72.5839097791,0.75733863425,0.0136134803,2018.0,9302.0,0.0,9302.0,0.0,0.0,0.0,9302.0,6806.0,512.0,1980.0,4.0,16.0,291.0,116.0,89.0,0.0,18.0,255.0,244.0,64.0,45.0,1219.0,21.0,9.0,14.0,84.0,7.0,7318.0,6164.0,766.0,381.0,0.0,1.0,6.0,4793.0,153.0,1804.0,568.0,5261.0,4708.0,85.0,1057.0,2815.0,724.0,80.0,0.0,2.0,30.0,3889.0,904.0,3213.0,1580.0,62.0,4678.0,53.0,3546.0,1247.0,812.0,3928.0,53.0,16021.0,65.0,15956.0,7836.0,8185.0,2262.0,2751.0,2473.0,2172.0,1810.0,1942.0,1402.0,787.0,422.0,4643.0,1984.0,1437.0,6.0,493.0,163.0
